date,source,server,low,q1,md,q3,high
2025-04-16,op-hk8a,public,390,460,520,690,1030
2025-04-16,op-hk8a-conflux,public,390,470,540,700,1040
2025-04-16,op-us8a-conflux,public,180,240,270,310,410
2025-04-17,op-de8a,public,30,80,100,140,230
2025-04-17,op-de8a-conflux,public,30,70,100,140,240
2025-04-17,op-hk8a,public,390,470,540,710,1070
2025-04-17,op-hk8a-conflux,public,390,480,570,730,1100
2025-04-17,op-us8a-conflux,public,190,240,270,330,460
2025-04-18,op-de8a,public,30,80,100,130,200
2025-04-18,op-de8a-conflux,public,20,70,100,140,240
2025-04-18,op-hk8a,public,380,470,540,650,890
2025-04-18,op-hk8a-conflux,public,390,490,570,720,1060
2025-04-18,op-us8a-conflux,public,190,245,280,330,450
2025-04-19,op-de8a,public,30,80,100,130,200
2025-04-19,op-de8a-conflux,public,20,70,90,130,220
2025-04-19,op-hk8a,public,390,460,520,600,810
2025-04-19,op-hk8a-conflux,public,380,460,510,600,810
2025-04-19,op-us8a-conflux,public,190,240,260,310,410
2025-04-20,op-de8a,public,20,70,100,130,220
2025-04-20,op-de8a-conflux,public,30,70,90,130,220
2025-04-20,op-hk8a,public,390,450,500,580,760
2025-04-20,op-hk8a-conflux,public,380,460,520,640,910
2025-04-20,op-us8a-conflux,public,180,240,270,320,440
2025-04-21,op-de8a,public,30,80,100,135,210
2025-04-21,op-de8a-conflux,public,20,70,100,135,230
2025-04-21,op-hk8a,public,390,460,530,650,930
2025-04-21,op-hk8a-conflux,public,380,490,560,680,960
2025-04-21,op-us8a-conflux,public,190,240,260,310,410
2025-04-22,op-de8a,public,30,80,100,150,250
2025-04-22,op-de8a-conflux,public,30,80,100,140,230
2025-04-22,op-hk8a,public,400,470,540,640,890
2025-04-22,op-hk8a-conflux,public,380,460,525,640,910
2025-04-22,op-us8a-conflux,public,190,250,280,340,470
2025-04-23,op-de8a,public,30,70,90,130,220
2025-04-23,op-de8a-conflux,public,30,80,100,140,230
2025-04-23,op-hk8a,public,390,460,530,620,860
2025-04-23,op-hk8a-conflux,public,390,470,530,630,870
2025-04-23,op-us8a-conflux,public,190,240,270,320,440
2025-04-24,op-de8a,public,20,80,100,160,280
2025-04-24,op-de8a-conflux,public,20,70,100,140,240
2025-04-24,op-hk8a,public,390,480,540,630,850
2025-04-24,op-hk8a-conflux,public,380,460,530,630,880
2025-04-24,op-us8a-conflux,public,180,240,270,310,410
2025-04-25,op-de8a,public,30,80,110,150,250
2025-04-25,op-de8a-conflux,public,30,80,100,140,230
2025-04-25,op-hk8a,public,390,460,510,630,880
2025-04-25,op-hk8a-conflux,public,390,460,520,640,910
2025-04-25,op-us8a-conflux,public,190,250,270,317,410
2025-04-26,op-de8a,public,20,80,110,150,250
2025-04-26,op-de8a-conflux,public,20,80,100,140,230
2025-04-26,op-hk8a,public,390,480,570,730,1100
2025-04-26,op-hk8a-conflux,public,390,470,560,720,1090
2025-04-26,op-us8a-conflux,public,190,250,280,330,450
2025-04-27,op-de8a,public,20,80,110,150,250
2025-04-27,op-de8a-conflux,public,20,80,110,160,280
2025-04-27,op-hk8a,public,380,490,590,760,1150
2025-04-27,op-hk8a-conflux,public,380,480,570,730,1100
2025-04-27,op-us8a-conflux,public,190,250,290,350,500
2025-04-28,op-de8a,public,40,80,110,150,250
2025-04-28,op-de8a-conflux,public,30,80,110,150,250
2025-04-28,op-hk8a,public,380,470,540,690,1020
2025-04-28,op-hk8a-conflux,public,390,480,570,730,1100
2025-04-28,op-us8a-conflux,public,180,240,280,330,460
2025-04-29,op-de8a,public,20,80,110,150,250
2025-04-29,op-de8a-conflux,public,20,70,100,140,240
2025-04-29,op-hk8a,public,380,490,580,700,1010
2025-04-29,op-hk8a-conflux,public,380,470,550,690,1020
2025-04-29,op-us8a-conflux,public,180,240,280,330,460
2025-04-30,op-de8a,public,30,80,110,160,280
2025-04-30,op-de8a-conflux,public,30,80,100,160,280
2025-04-30,op-hk8a,public,390,480,550,680,970
2025-04-30,op-hk8a-conflux,public,390,480,550,700,1030
2025-04-30,op-us8a-conflux,public,180,250,270,320,420
2025-05-01,op-de8a,public,30,70,100,140,240
2025-05-01,op-de8a-conflux,public,20,80,100,140,230
2025-05-01,op-hk8a,public,380,450,520,630,900
2025-05-01,op-hk8a-conflux,public,390,450,510,610,850
2025-05-01,op-us8a-conflux,public,180,250,280,327,440
2025-05-02,op-de8a,public,20,80,100,140,230
2025-05-02,op-de8a-conflux,public,20,70,90,120,190
2025-05-02,op-hk8a,public,390,460,520,610,820
2025-05-02,op-hk8a-conflux,public,390,460,510,600,810
2025-05-02,op-us8a-conflux,public,190,250,270,310,400
2025-05-03,op-de8a,public,30,80,110,140,230
2025-05-03,op-de8a-conflux,public,30,70,90,130,220
2025-05-03,op-hk8a,public,390,450,500,590,800
2025-05-03,op-hk8a-conflux,public,390,460,520,610,830
2025-05-03,op-us8a-conflux,public,160,240,270,310,410
2025-05-04,op-de8a,public,30,90,120,210,390
2025-05-04,op-de8a-conflux,public,30,90,130,227,430
2025-05-04,op-hk8a,public,390,470,550,710,1070
2025-05-04,op-hk8a-conflux,public,400,500,580,715,1030
2025-05-04,op-us8a-conflux,public,190,270,310,410,620
2025-05-05,op-de8a,public,40,100,140,230,420
2025-05-05,op-de8a-conflux,public,30,90,140,250,490
2025-05-05,op-hk8a,public,380,490,600,750,1140
2025-05-05,op-hk8a-conflux,public,400,500,580,770,1170
2025-05-05,op-us8a-conflux,public,200,270,340,450,720
2025-05-06,op-de8a,public,30,100,140,230,420
2025-05-06,op-de8a-conflux,public,30,90,130,240,460
2025-05-06,op-hk8a,public,390,500,600,760,1150
2025-05-06,op-hk8a-conflux,public,400,510,610,770,1160
2025-05-06,op-us8a-conflux,public,200,270,310,410,620
2025-05-07,op-de8a,public,30,80,120,170,300
2025-05-07,op-de8a-conflux,public,40,90,120,187,330
2025-05-07,op-hk8a,public,380,470,560,650,920
2025-05-07,op-hk8a-conflux,public,390,490,560,670,940
2025-05-07,op-us8a-conflux,public,170,250,290,360,520
2025-05-08,op-de8a,public,30,90,140,210,390
2025-05-08,op-de8a-conflux,public,30,100,140,220,400
2025-05-08,op-hk8a,public,400,480,550,670,950
2025-05-08,op-hk8a-conflux,public,390,510,610,750,1100
2025-05-08,op-us8a-conflux,public,180,270,310,400,590
2025-05-09,op-de8a,public,40,130,200,310,580
2025-05-09,op-de8a-conflux,public,40,120,170,280,520
2025-05-09,op-hk8a,public,390,540,640,760,1090
2025-05-09,op-hk8a-conflux,public,400,497,590,710,1020
2025-05-09,op-us8a-conflux,public,180,280,330,450,700
2025-05-10,op-de8a,public,30,100,150,250,470
2025-05-10,op-de8a-conflux,public,30,90,140,230,440
2025-05-10,op-hk8a,public,370,490,590,710,1040
2025-05-10,op-hk8a-conflux,public,380,510,600,730,1060
2025-05-10,op-us8a-conflux,public,170,280,340,420,630
2025-05-11,op-de8a,public,30,100,160,250,470
2025-05-11,op-de8a-conflux,public,30,100,140,250,470
2025-05-11,op-hk8a,public,390,500,590,722,1050
2025-05-11,op-hk8a-conflux,public,380,500,590,700,1000
2025-05-11,op-us8a-conflux,public,190,280,330,430,650
2025-05-12,op-de8a,public,30,100,150,250,470
2025-05-12,op-de8a-conflux,public,40,100,140,220,400
2025-05-12,op-hk8a,public,400,510,600,720,1030
2025-05-12,op-hk8a-conflux,public,400,520,590,710,990
2025-05-12,op-us8a-conflux,public,200,280,330,410,600
2025-05-13,op-de8a,public,40,110,150,250,460
2025-05-13,op-de8a-conflux,public,20,100,140,220,400
2025-05-13,op-hk8a,public,390,480,560,690,1000
2025-05-13,op-hk8a-conflux,public,390,500,570,690,960
2025-05-13,op-us8a-conflux,public,190,260,310,380,560
2025-05-14,op-de8a,public,30,100,140,220,400
2025-05-14,op-de8a-conflux,public,30,100,135,220,400
2025-05-14,op-hk8a,public,380,490,570,685,970
2025-05-14,op-hk8a-conflux,public,390,500,570,690,960
2025-05-14,op-us8a-conflux,public,200,270,320,390,570
2025-05-15,op-de8a,public,30,100,140,220,400
2025-05-15,op-de8a-conflux,public,30,100,130,195,330
2025-05-15,op-hk8a,public,400,490,580,690,990
2025-05-15,op-hk8a-conflux,public,390,480,550,670,950
2025-05-15,op-us8a,public,200,260,300,370,530
2025-05-15,op-us8a-conflux,public,190,260,295,360,510
2025-05-16,op-de8a,public,30,80,110,180,330
2025-05-16,op-de8a-conflux,public,20,80,110,160,280
2025-05-16,op-hk8a,public,390,470,530,625,850
2025-05-16,op-hk8a-conflux,public,390,480,540,650,900
2025-05-16,op-us8a,public,180,250,290,340,470
2025-05-16,op-us8a-conflux,public,200,250,290,340,470
2025-05-17,op-de8a,public,20,80,110,150,250
2025-05-17,op-de8a-conflux,public,20,70,110,150,270
2025-05-17,op-hk8a,public,380,460,520,620,850
2025-05-17,op-hk8a-conflux,public,390,480,530,620,830
2025-05-17,op-us8a,public,200,250,280,320,420
2025-05-17,op-us8a-conflux,public,170,250,275,320,420
2025-05-18,op-de8a,public,30,80,110,160,280
2025-05-18,op-de8a-conflux,public,30,80,100,150,250
2025-05-18,op-hk8a,public,390,470,530,630,870
2025-05-18,op-hk8a-conflux,public,390,470,530,640,890
2025-05-18,op-us8a,public,190,250,280,330,450
2025-05-18,op-us8a-conflux,public,190,250,280,330,450
2025-05-19,op-de8a,public,20,90,110,150,240
2025-05-19,op-de8a-conflux,public,20,70,110,150,270
2025-05-19,op-hk8a,public,390,460,510,600,800
2025-05-19,op-hk8a-conflux,public,380,470,520,620,840
2025-05-19,op-us8a,public,200,250,280,345,480
2025-05-19,op-us8a-conflux,public,130,250,270,330,450
2025-05-20,op-de8a,public,20,80,120,200,380
2025-05-20,op-de8a-conflux,public,30,80,100,160,280
2025-05-20,op-hk8a,public,390,460,520,610,830
2025-05-20,op-hk8a-conflux,public,390,480,540,640,880
2025-05-20,op-us8a,public,190,250,280,340,470
2025-05-20,op-us8a-conflux,public,190,250,280,350,500
2025-05-21,op-de8a,public,20,80,110,160,280
2025-05-21,op-de8a-conflux,public,30,80,110,190,350
2025-05-21,op-hk8a,public,380,490,570,680,960
2025-05-21,op-hk8a-conflux,public,400,500,580,720,1050
2025-05-21,op-us8a,public,200,250,280,340,470
2025-05-21,op-us8a-conflux,public,180,250,290,360,520
2025-05-22,op-de8a,public,20,90,110,160,260
2025-05-22,op-de8a-conflux,public,30,70,100,160,290
2025-05-22,op-hk8a,public,370,510,590,680,930
2025-05-22,op-hk8a-conflux,public,410,530,610,750,1080
2025-05-22,op-us8a,public,180,260,290,340,460
2025-05-22,op-us8a-conflux,public,180,250,290,350,500
2025-05-23,op-de8a,public,20,80,120,210,400
2025-05-23,op-de8a-conflux,public,20,80,120,180,330
2025-05-23,op-hk8a,public,370,490,560,660,910
2025-05-23,op-hk8a-conflux,public,390,520,590,730,1040
2025-05-23,op-us8a,public,180,250,290,350,500
2025-05-23,op-us8a-conflux,public,190,250,280,340,470
2025-05-24,op-de8a,public,20,70,90,140,240
2025-05-24,op-de8a-conflux,public,20,80,110,170,300
2025-05-24,op-hk8a,public,390,510,580,670,910
2025-05-24,op-hk8a-conflux,public,400,520,600,730,1040
2025-05-24,op-us8a,public,190,250,290,340,470
2025-05-24,op-us8a-conflux,public,190,250,290,350,500
2025-05-25,op-de8a,public,20,80,110,170,300
2025-05-25,op-de8a-conflux,public,30,70,100,140,240
2025-05-25,op-hk8a,public,380,490,560,660,910
2025-05-25,op-hk8a-conflux,public,390,510,590,710,1010
2025-05-25,op-us8a,public,190,240,270,320,440
2025-05-25,op-us8a-conflux,public,170,250,280,340,470
2025-05-26,op-de8a,public,20,80,110,140,230
2025-05-26,op-de8a-conflux,public,30,70,100,150,270
2025-05-26,op-hk8a,public,400,510,570,670,910
2025-05-26,op-hk8a-conflux,public,400,530,600,720,1000
2025-05-26,op-us8a,public,190,250,290,340,470
2025-05-26,op-us8a-conflux,public,170,250,280,350,500
2025-05-27,op-de8a,public,30,90,120,180,310
2025-05-27,op-de8a-conflux,public,20,80,110,170,300
2025-05-27,op-hk8a,public,410,530,590,670,880
2025-05-27,op-hk8a-conflux,public,390,500,570,710,1010
2025-05-27,op-us8a,public,190,250,290,340,470
2025-05-27,op-us8a-conflux,public,160,250,290,340,470
2025-05-28,op-de8a,public,30,80,120,160,280
2025-05-28,op-de8a-conflux,public,30,90,130,220,410
2025-05-28,op-hk8a,public,390,500,570,660,900
2025-05-28,op-hk8a-conflux,public,390,520,590,700,970
2025-05-28,op-us8a,public,180,250,280,330,450
2025-05-28,op-us8a-conflux,public,150,250,280,330,450
2025-05-29,op-de8a,public,30,90,110,180,310
2025-05-29,op-de8a-conflux,public,30,90,130,210,390
2025-05-29,op-hk8a,public,390,510,570,670,910
2025-05-29,op-hk8a-conflux,public,400,490,550,650,890
2025-05-29,op-us8a,public,140,240,270,330,460
2025-05-29,op-us8a-conflux,public,190,250,280,330,450
2025-05-30,op-de8a,public,30,90,120,200,360
2025-05-30,op-de8a-conflux,public,30,80,120,200,380
2025-05-30,op-hk8a,public,410,510,570,680,930
2025-05-30,op-hk8a-conflux,public,390,510,570,670,910
2025-05-30,op-us8a,public,200,250,280,330,450
2025-05-30,op-us8a-conflux,public,180,250,290,340,470
2025-05-31,op-de8a,public,30,80,110,170,300
2025-05-31,op-de8a-conflux,public,20,90,120,190,340
2025-05-31,op-hk8a,public,370,510,580,672,910
2025-05-31,op-hk8a-conflux,public,380,520,590,690,940
2025-05-31,op-us8a,public,180,250,280,330,450
2025-05-31,op-us8a-conflux,public,160,250,290,332,450
2025-06-01,op-de8a,public,20,80,130,220,430
2025-06-01,op-de8a-conflux,public,40,80,110,170,300
2025-06-01,op-hk8a,public,390,520,580,670,890
2025-06-01,op-hk8a-conflux,public,390,510,570,690,960
2025-06-01,op-us8a,public,190,250,280,337,460
2025-06-01,op-us8a-conflux,public,190,260,290,360,510
2025-06-02,op-de8a,public,30,90,120,200,360
2025-06-02,op-de8a-conflux,public,30,80,110,200,380
2025-06-02,op-hk8a,public,400,500,570,660,900
2025-06-02,op-hk8a-conflux,public,400,530,590,680,900
2025-06-02,op-us8a,public,180,250,290,330,440
2025-06-02,op-us8a-conflux,public,180,260,290,340,460
2025-06-03,op-de8a,public,20,90,110,190,340
2025-06-03,op-de8a-conflux,public,30,80,110,160,280
2025-06-03,op-hk8a,public,390,490,540,610,790
2025-06-03,op-hk8a-conflux,public,400,510,570,670,910
2025-06-03,op-us8a,public,180,240,270,310,410
2025-06-03,op-us8a-conflux,public,190,250,270,320,420
2025-06-04,op-de8a,public,20,70,100,140,240
2025-06-04,op-de8a-conflux,public,20,70,90,140,240
2025-06-04,op-hk8a,public,380,485,550,620,820
2025-06-04,op-hk8a-conflux,public,390,500,560,650,860
2025-06-04,op-us8a,public,190,240,260,300,390
2025-06-04,op-us8a-conflux,public,190,230,260,320,450
2025-06-05,op-de8a,public,20,70,100,130,220
2025-06-05,op-de8a-conflux,public,30,70,100,150,270
2025-06-05,op-hk8a,public,400,490,540,620,810
2025-06-05,op-hk8a-conflux,public,400,500,570,670,910
2025-06-05,op-us8a,public,180,230,260,300,400
2025-06-05,op-us8a-conflux,public,180,240,270,320,440
2025-06-06,op-de8a,public,20,70,100,170,320
2025-06-06,op-de8a-conflux,public,20,60,90,130,230
2025-06-06,op-hk8a,public,400,500,550,620,800
2025-06-06,op-hk8a-conflux,public,400,492,550,640,850
2025-06-06,op-us8a,public,180,230,260,310,430
2025-06-06,op-us8a-conflux,public,190,240,260,310,410
2025-06-07,op-de8a,public,30,80,100,150,250
2025-06-07,op-de8a-conflux,public,30,70,100,180,340
2025-06-07,op-hk8a,public,390,490,550,620,810
2025-06-07,op-hk8a-conflux,public,400,510,570,660,880
2025-06-07,op-us8a,public,190,230,260,300,400
2025-06-07,op-us8a-conflux,public,180,240,270,320,440
2025-06-08,op-de8a,public,20,80,110,190,350
2025-06-08,op-de8a-conflux,public,30,70,100,140,240
2025-06-08,op-hk8a,public,400,500,570,650,870
2025-06-08,op-hk8a-conflux,public,400,500,570,660,900
2025-06-08,op-us8a,public,160,230,260,300,400
2025-06-08,op-us8a-conflux,public,180,230,260,310,430
2025-06-09,op-de8a,public,20,70,100,185,350
2025-06-09,op-de8a-conflux,public,20,70,100,140,240
2025-06-09,op-hk8a,public,390,510,570,640,830
2025-06-09,op-hk8a-conflux,public,410,510,565,660,880
2025-06-09,op-us8a,public,190,240,270,310,410
2025-06-09,op-us8a-conflux,public,190,230,260,310,430
2025-06-10,op-de8a,public,30,70,100,150,270
2025-06-10,op-de8a-conflux,public,30,70,100,157,280
2025-06-10,op-hk8a,public,400,510,560,620,780
2025-06-10,op-hk8a-conflux,public,400,510,560,660,880
2025-06-10,op-us8a,public,190,240,260,300,390
2025-06-10,op-us8a-conflux,public,170,230,260,290,380
2025-06-11,op-de8a,public,30,70,100,160,290
2025-06-11,op-de8a-conflux,public,20,70,100,150,270
2025-06-11,op-hk8a,public,400,490,550,620,810
2025-06-11,op-hk8a-conflux,public,400,500,560,660,880
2025-06-11,op-us8a,public,180,230,260,300,400
2025-06-11,op-us8a-conflux,public,180,230,260,290,380
2025-06-12,op-de8a,public,30,80,110,160,280
2025-06-12,op-de8a-conflux,public,30,70,90,140,240
2025-06-12,op-hk8a,public,390,490,540,620,800
2025-06-12,op-hk8a-conflux,public,400,490,540,620,810
2025-06-12,op-us8a,public,190,240,260,300,390
2025-06-12,op-us8a-conflux,public,190,240,270,310,410
2025-06-13,op-de8a,public,30,70,90,130,220
2025-06-13,op-de8a-conflux,public,20,70,90,140,240
2025-06-13,op-hk8a,public,400,500,550,640,850
2025-06-13,op-hk8a-conflux,public,410,500,550,630,820
2025-06-13,op-us8a,public,190,230,260,300,400
2025-06-13,op-us8a-conflux,public,160,240,270,300,390
2025-06-14,op-de8a,public,30,80,100,140,230
2025-06-14,op-de8a-conflux,public,20,70,90,130,220
2025-06-14,op-hk8a,public,390,500,560,635,830
2025-06-14,op-hk8a-conflux,public,400,480,550,640,870
2025-06-14,op-us8a,public,180,230,260,300,400
2025-06-14,op-us8a-conflux,public,170,230,260,300,400
2025-06-15,op-de8a,public,20,70,100,150,270
2025-06-15,op-de8a-conflux,public,20,70,90,130,220
2025-06-15,op-hk8a,public,400,500,550,630,820
2025-06-15,op-hk8a-conflux,public,400,490,560,640,860
2025-06-15,op-us8a,public,190,230,260,290,380
2025-06-15,op-us8a-conflux,public,180,230,260,300,400
2025-06-16,op-de8a,public,30,70,100,150,270
2025-06-16,op-de8a-conflux,public,20,70,100,150,270
2025-06-16,op-hk8a,public,390,490,550,630,840
2025-06-16,op-hk8a-conflux,public,410,500,560,640,850
2025-06-16,op-us8a,public,140,230,260,290,380
2025-06-16,op-us8a-conflux,public,180,230,260,310,430
2025-06-17,op-de8a,public,30,70,100,150,270
2025-06-17,op-de8a-conflux,public,20,70,100,140,240
2025-06-17,op-hk8a,public,400,510,560,650,860
2025-06-17,op-hk8a-conflux,public,400,510,580,680,930
2025-06-17,op-us8a,public,190,230,260,300,400
2025-06-17,op-us8a-conflux,public,170,230,260,310,430
2025-06-18,op-de8a,public,20,70,100,140,240
2025-06-18,op-de8a-conflux,public,30,60,90,120,210
2025-06-18,op-hk8a,public,400,490,540,630,830
2025-06-18,op-hk8a-conflux,public,390,500,560,640,850
2025-06-18,op-us8a,public,180,240,260,310,410
2025-06-18,op-us8a-conflux,public,180,230,260,300,400
2025-06-19,op-de8a,public,20,70,100,140,240
2025-06-19,op-de8a-conflux,public,20,60,80,120,210
2025-06-19,op-hk8a,public,390,490,550,630,840
2025-06-19,op-hk8a-conflux,public,400,500,560,640,850
2025-06-19,op-us8a,public,190,230,260,310,430
2025-06-19,op-us8a-conflux,public,190,230,260,310,430
2025-06-20,op-de8a,public,30,70,110,190,370
2025-06-20,op-de8a-conflux,public,20,70,100,180,340
2025-06-20,op-hk8a,public,390,500,560,670,900
2025-06-20,op-hk8a-conflux,public,390,510,570,670,910
2025-06-20,op-us8a,public,190,250,290,390,600
2025-06-20,op-us8a-conflux,public,190,250,300,380,570
2025-06-21,op-de8a,public,20,70,100,160,290
2025-06-21,op-de8a-conflux,public,30,70,90,150,270
2025-06-21,op-hk8a,public,400,500,560,650,870
2025-06-21,op-hk8a-conflux,public,390,500,560,650,870
2025-06-21,op-us8a,public,190,250,270,312,400
2025-06-21,op-us8a-conflux,public,190,240,270,320,440
2025-06-22,op-de8a,public,30,80,110,160,280
2025-06-22,op-de8a-conflux,public,20,70,100,150,270
2025-06-22,op-hk8a,public,380,490,540,610,790
2025-06-22,op-hk8a-conflux,public,400,500,550,630,820
2025-06-22,op-us8a,public,190,240,270,320,440
2025-06-22,op-us8a-conflux,public,190,240,280,320,440
2025-06-23,op-de8a,public,20,70,100,150,270
2025-06-23,op-de8a-conflux,public,30,70,100,150,270
2025-06-23,op-hk8a,public,390,490,550,650,890
2025-06-23,op-hk8a-conflux,public,390,500,555,650,860
2025-06-23,op-us8a,public,180,240,270,320,440
2025-06-23,op-us8a-conflux,public,180,240,270,310,410
2025-06-24,op-de8a,public,20,70,100,170,320
2025-06-24,op-de8a-conflux,public,30,70,100,140,240
2025-06-24,op-hk8a,public,390,490,540,630,840
2025-06-24,op-hk8a-conflux,public,390,490,550,660,910
2025-06-24,op-us8a,public,170,240,260,310,410
2025-06-24,op-us8a-conflux,public,180,240,270,330,460
2025-06-25,op-de8a,public,30,70,110,160,290
2025-06-25,op-de8a-conflux,public,30,70,100,140,240
2025-06-25,op-hk8a,public,400,480,540,620,830
2025-06-25,op-hk8a-conflux,public,390,480,540,640,880
2025-06-25,op-us8a,public,190,240,260,300,390
2025-06-25,op-us8a-conflux,public,180,230,260,300,400
2025-06-26,op-de8a,public,30,80,100,150,250
2025-06-26,op-de8a-conflux,public,30,70,100,160,290
2025-06-26,op-hk8a,public,390,480,530,620,830
2025-06-26,op-hk8a-conflux,public,390,480,540,640,870
2025-06-26,op-us8a,public,180,240,260,300,390
2025-06-26,op-us8a-conflux,public,180,230,260,302,410
2025-06-27,op-de8a,public,30,70,100,150,270
2025-06-27,op-de8a-conflux,public,20,70,100,140,240
2025-06-27,op-hk8a,public,390,480,540,610,800
2025-06-27,op-hk8a-conflux,public,390,480,550,630,850
2025-06-27,op-us8a,public,180,240,270,300,390
2025-06-27,op-us8a-conflux,public,190,240,270,320,440
2025-06-28,op-de8a,public,20,80,110,160,280
2025-06-28,op-de8a-conflux,public,30,70,100,150,270
2025-06-28,op-hk8a,public,400,490,540,620,810
2025-06-28,op-hk8a-conflux,public,390,490,550,650,890
2025-06-28,op-us8a,public,190,240,260,300,390
2025-06-28,op-us8a-conflux,public,180,230,260,300,400
2025-06-29,op-de8a,public,20,80,100,150,250
2025-06-29,op-de8a-conflux,public,20,70,100,160,290
2025-06-29,op-hk8a,public,400,490,550,620,810
2025-06-29,op-hk8a-conflux,public,390,480,540,640,880
2025-06-29,op-us8a,public,190,240,260,300,390
2025-06-29,op-us8a-conflux,public,170,230,260,290,380
2025-06-30,op-de8a,public,20,80,110,160,280
2025-06-30,op-de8a-conflux,public,30,80,110,170,300
2025-06-30,op-hk8a,public,390,470,530,600,790
2025-06-30,op-hk8a-conflux,public,400,480,540,640,870
2025-06-30,op-us8a,public,190,240,260,310,410
2025-06-30,op-us8a-conflux,public,170,240,260,300,390
2025-07-01,op-de8a,public,20,70,90,130,220
2025-07-01,op-de8a-conflux,public,30,70,90,140,240
2025-07-01,op-hk8a,public,390,470,520,600,790
